rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,100,2000,2000,10000,0.004882535767883942,0.004852564932466221,-0.6138374984339355,346
0,100,2000,2000,20000,0.005388266208104056,0.005357555227613807,-0.5699603416783445,717
0,100,2000,2000,50000,0.0021570057728864584,0.0021525612606303206,-0.20605008628188698,1528
0,100,2000,2000,100000,0.003961639159579746,0.004103056188094089,3.5696594974425686,3359
0,100,2000,2000,200000,0.0038065218959479007,0.0037882379389693284,-0.4803323737093408,6946
0,100,2000,2000,500000,0.0028218596288142415,0.0028277603491744492,0.20910750839464265,14311
0,100,2000,2000,1000000,0.0020595881150572946,0.0020262078394196457,-1.6207257846173946,30866
0,100,5000,5000,1,0.0,0.0,,0
0,100,5000,5000,2,0.0,0.0,,0
0,100,5000,5000,5,0.0,0.0,,0
0,100,5000,5000,10,0.0,0.0,,0
0,100,5000,5000,20,0.004334750950190038,0.003859167833566713,-10.971405787510694,1
0,100,5000,5000,50,0.00012761592318463692,0.00010375035007001401,-18.701093499197423,1
0,100,5000,5000,100,3.996159231846369e-05,2.3983996799359875e-05,-39.98237956028993,2
0,100,5000,5000,200,9.155431086217244e-05,0.00011734706941388278,28.172085299772757,7
0,100,5000,5000,500,0.008838336947389478,0.00899670526105221,1.7918338552311943,28
0,100,5000,5000,1000,0.004246207961592319,0.004230608841768353,-0.3673658936411593,35
0,100,5000,5000,2000,0.002686095179035807,0.0027020146029205837,0.5926604540681671,63
0,100,5000,5000,5000,0.003884180772154431,0.003887340076015207,0.08133771433669808,205
0,100,5000,5000,10000,0.0035843184636927396,0.0035446475215042987,-1.1067917817651152,393
0,100,5000,5000,20000,0.003796476019203836,0.0038036750910181993,0.18962510965295243,693
0,100,5000,5000,50000,0.003188480468893775,0.003172285962792567,-0.5079067053788979,1682
0,100,5000,5000,100000,0.0017235247169433924,0.0017221527369473942,-0.07960315175702058,3181
0,100,5000,5000,200000,0.0035546495571113584,0.003581761798359679,0.7627261369290348,7786
0,100,5000,5000,500000,0.004086869094138799,0.004081814788557732,-0.12367182468154032,19819
0,100,5000,5000,1000000,0.0042432357037801415,0.004258540472574271,0.36068627487498056,38680
0,100,10000,10000,1,0.0,0.0,,0
0,100,10000,10000,2,0.0,0.0,,0
0,100,10000,10000,5,0.0,0.0,,0
0,100,10000,10000,10,0.0,0.0,,0
0,100,10000,10000,20,0.0,0.0,,0
0,100,10000,10000,50,4e-06,0.0,-100.0,1
0,100,10000,10000,100,0.010020544454445444,0.009946258025802582,-0.7413412412925967,5
0,100,10000,10000,200,0.0039128580858085816,0.003920224222422242,0.1882546326015876,10
0,100,10000,10000,500,0.005116776917691769,0.005073481628162817,-0.846143778112621,15
0,100,10000,10000,1000,0.0021300156415641563,0.0021516752875287534,1.0168773196750625,38
0,100,10000,10000,2000,0.001209576717671767,0.0012050495449544953,-0.37427743533174057,64
0,100,10000,10000,5000,0.005161451405140507,0.005146858329832979,-0.2827320100891381,199
0,100,10000,10000,10000,0.001328020574057404,0.0013392535533553356,0.8458437705985548,319
0,100,10000,10000,20000,0.0022129125762576202,0.0022269890699069873,0.6361070835058746,788
0,100,10000,10000,50000,0.003401286807080716,0.0033633911543154496,-1.1141563447803373,1909
0,100,10000,10000,100000,0.006588707608360823,0.006544114885688617,-0.6768053057267102,4468
0,100,10000,10000,200000,0.0029382895564556487,0.0029304891197120156,-0.2654754269025302,7362
0,100,10000,10000,500000,0.0031383707909989986,0.0031383428536453754,-0.0008901865166261271,19938
0,100,10000,10000,1000000,0.003635458544173983,0.0036094949105305247,-0.7141776842722221,39492
0,1000,1,1,1,0.0,0.0,,0
0,1000,1,1,2,0.0,0.0,,0
0,1000,1,1,5,0.0,0.0,,0
0,1000,1,1,10,,,,1
0,1000,1,1,20,,,,2
0,1000,1,1,50,,,,8
0,1000,1,1,100,0.0,0.0,,0
0,1000,1,1,200,,,,2
0,1000,1,1,500,,,,8
0,1000,1,1,1000,,,,29
0,1000,1,1,2000,,,,136
0,1000,1,1,5000,,,,96
0,1000,1,1,10000,,,,638
0,1000,1,1,20000,,,,222
0,1000,1,1,50000,,,,1199
0,1000,1,1,100000,,,,387
0,1000,1,1,200000,,,,20306
0,1000,1,1,500000,,,,23166
0,1000,1,1,1000000,,,,48035
0,1000,2,2,1,0.0,0.0,,0
0,1000,2,2,2,0.0,0.0,,0
0,1000,2,2,5,0.0,0.0,,0
0,1000,2,2,10,0.1,0.1,0.0,2
0,1000,2,2,20,0.0,0.05,inf,1
0,1000,2,2,50,0.02,0.0,-100.0,1
0,1000,2,2,100,0.02,0.03,49.99999999999999,9
0,1000,2,2,200,0.005,0.045,800.0,22
